LO_DEBUG: input=6.00000000000011546319 | scaled=600000000000011.50000000000000000000
LO_DEBUG: input=6.00000000000011546319 | scaled=600000000000012.00000000000000000000
LO_DEBUG: input=6.00000000000011635137 | scaled=600000000000011.62500000000000000000
LO_DEBUG: input=6.00000000000011635137 | scaled=600000000000012.00000000000000000000
LO_DEBUG: input=6.00000000000011723955 | scaled=600000000000011.75000000000000000000
LO_DEBUG: input=6.00000000000011723955 | scaled=600000000000012.00000000000000000000
LO_DEBUG: input=6.00000000000011812773 | scaled=600000000000011.87500000000000000000
LO_DEBUG: input=6.00000000000011812773 | scaled=600000000000012.00000000000000000000
LO_DEBUG: input=6.00000000000011901591 | scaled=600000000000011.87500000000000000000
LO_DEBUG: input=6.00000000000011901591 | scaled=600000000000012.00000000000000000000
LO_DEBUG: input=6.00000000000011990409 | scaled=600000000000012.00000000000000000000
LO_DEBUG: input=6.00000000000011990409 | scaled=600000000000012.00000000000000000000
LO_DEBUG: input=6.00000000000012079227 | scaled=600000000000012.12500000000000000000
LO_DEBUG: input=6.00000000000012079227 | scaled=600000000000012.00000000000000000000
LO_DEBUG: input=6.00000000000012168044 | scaled=600000000000012.12500000000000000000
LO_DEBUG: input=6.00000000000012168044 | scaled=600000000000012.00000000000000000000
LO_DEBUG: input=6.00000000000012256862 | scaled=600000000000012.25000000000000000000
LO_DEBUG: input=6.00000000000012256862 | scaled=600000000000012.00000000000000000000
LO_DEBUG: input=6.00000000000012345680 | scaled=600000000000012.37500000000000000000
LO_DEBUG: input=6.00000000000012345680 | scaled=600000000000012.00000000000000000000
LO_DEBUG: input=6.00000000000012434498 | scaled=600000000000012.37500000000000000000
LO_DEBUG: input=6.00000000000012434498 | scaled=600000000000012.00000000000000000000
LO_DEBUG: input=6.00000000000012523316 | scaled=600000000000012.50000000000000000000
LO_DEBUG: input=6.00000000000012523316 | scaled=600000000000013.00000000000000000000
LO_DEBUG: input=6.00000000000012612134 | scaled=600000000000012.62500000000000000000
LO_DEBUG: input=6.00000000000012612134 | scaled=600000000000013.00000000000000000000
LO_DEBUG: input=6.00000000000012700951 | scaled=600000000000012.75000000000000000000
LO_DEBUG: input=6.00000000000012700951 | scaled=600000000000013.00000000000000000000
LO_DEBUG: input=6.00000000000012789769 | scaled=600000000000012.75000000000000000000
LO_DEBUG: input=6.00000000000012789769 | scaled=600000000000013.00000000000000000000
LO_DEBUG: input=6.00000000000012878587 | scaled=600000000000012.87500000000000000000
LO_DEBUG: input=6.00000000000012878587 | scaled=600000000000013.00000000000000000000
LO_DEBUG: input=6.00000000000012967405 | scaled=600000000000013.00000000000000000000
LO_DEBUG: input=6.00000000000012967405 | scaled=600000000000013.00000000000000000000
LO_DEBUG: input=6.00000000000013056223 | scaled=600000000000013.00000000000000000000
LO_DEBUG: input=6.00000000000013056223 | scaled=600000000000013.00000000000000000000
LO_DEBUG: input=6.00000000000013145041 | scaled=600000000000013.12500000000000000000
LO_DEBUG: input=6.00000000000013145041 | scaled=600000000000013.00000000000000000000
LO_DEBUG: input=6.00000000000013233858 | scaled=600000000000013.25000000000000000000
LO_DEBUG: input=6.00000000000013233858 | scaled=600000000000013.00000000000000000000
LO_DEBUG: input=6.00000000000013322676 | scaled=600000000000013.37500000000000000000
LO_DEBUG: input=6.00000000000013322676 | scaled=600000000000013.00000000000000000000
LO_DEBUG: input=6.00000000000013411494 | scaled=600000000000013.37500000000000000000
LO_DEBUG: input=6.00000000000013411494 | scaled=600000000000013.00000000000000000000
LO_DEBUG: input=6.00000000000013500312 | scaled=600000000000013.50000000000000000000
LO_DEBUG: input=6.00000000000013500312 | scaled=600000000000014.00000000000000000000
LO_DEBUG: input=6.00000000000013589130 | scaled=600000000000013.62500000000000000000
LO_DEBUG: input=6.00000000000013589130 | scaled=600000000000014.00000000000000000000
LO_DEBUG: input=6.00000000000013677948 | scaled=600000000000013.62500000000000000000
LO_DEBUG: input=6.00000000000013677948 | scaled=600000000000014.00000000000000000000
LO_DEBUG: input=6.00000000000013766766 | scaled=600000000000013.75000000000000000000
LO_DEBUG: input=6.00000000000013766766 | scaled=600000000000014.00000000000000000000
LO_DEBUG: input=6.00000000000013855583 | scaled=600000000000013.87500000000000000000
LO_DEBUG: input=6.00000000000013855583 | scaled=600000000000014.00000000000000000000
LO_DEBUG: input=6.00000000000013944401 | scaled=600000000000014.00000000000000000000
LO_DEBUG: input=6.00000000000013944401 | scaled=600000000000014.00000000000000000000
LO_DEBUG: input=6.00000000000014033219 | scaled=600000000000014.00000000000000000000
LO_DEBUG: input=6.00000000000014033219 | scaled=600000000000014.00000000000000000000
LO_DEBUG: input=6.00000000000014122037 | scaled=600000000000014.12500000000000000000
LO_DEBUG: input=6.00000000000014122037 | scaled=600000000000014.00000000000000000000
LO_DEBUG: input=6.00000000000014210855 | scaled=600000000000014.25000000000000000000
LO_DEBUG: input=6.00000000000014210855 | scaled=600000000000014.00000000000000000000
LO_DEBUG: input=6.00000000000014299673 | scaled=600000000000014.25000000000000000000
LO_DEBUG: input=6.00000000000014299673 | scaled=600000000000014.00000000000000000000
LO_DEBUG: input=6.00000000000014388490 | scaled=600000000000014.37500000000000000000
LO_DEBUG: input=6.00000000000014388490 | scaled=600000000000014.00000000000000000000
LO_DEBUG: input=6.00000000000014477308 | scaled=600000000000014.50000000000000000000
LO_DEBUG: input=6.00000000000014477308 | scaled=600000000000015.00000000000000000000
LO_DEBUG: input=6.00000000000014566126 | scaled=600000000000014.62500000000000000000
LO_DEBUG: input=6.00000000000014566126 | scaled=600000000000015.00000000000000000000
LO_DEBUG: input=6.00000000000014654944 | scaled=600000000000014.62500000000000000000
LO_DEBUG: input=6.00000000000014654944 | scaled=600000000000015.00000000000000000000
LO_DEBUG: input=6.00000000000014743762 | scaled=600000000000014.75000000000000000000
LO_DEBUG: input=6.00000000000014743762 | scaled=600000000000015.00000000000000000000
LO_DEBUG: input=6.00000000000014832580 | scaled=600000000000014.87500000000000000000
LO_DEBUG: input=6.00000000000014832580 | scaled=600000000000015.00000000000000000000
LO_DEBUG: input=6.00000000000014921397 | scaled=600000000000014.87500000000000000000
LO_DEBUG: input=6.00000000000014921397 | scaled=600000000000015.00000000000000000000
LO_DEBUG: input=6.00000000000015010215 | scaled=600000000000015.00000000000000000000
LO_DEBUG: input=6.00000000000015010215 | scaled=600000000000015.00000000000000000000
LO_DEBUG: input=6.00000000000015099033 | scaled=600000000000015.12500000000000000000
